Date,5_YR_R,7_YR_R,10_YR_R
1/16/2005,0.087577195,-0.035105766,-0.319589676
1/23/2005,0.279218789,0.016737585,-0.383852407
1/30/2005,-0.104064399,0.068580937,0.023144887
2/6/2005,0.087577195,-0.13879247,-0.233906035
2/13/2005,-1.00094706,-1.054691682,-1.240688815
2/20/2005,0.271553125,0.414203281,0.644351283
2/27/2005,0.187230824,0.211150154,0.28019581
3/6/2005,0.509188702,0.323477416,0.365879451
3/13/2005,0.532185693,0.431484399,0.494404912
3/20/2005,0.532185693,0.448765516,0.601509463
3/27/2005,0.708495959,0.781427022,0.928178344
4/3/2005,0.018586221,-0.056707163,-0.132156712
4/10/2005,-0.479681924,-0.467133697,-0.448115137
4/17/2005,-0.341699976,-0.518977049,-0.876533342
4/24/2005,-1.077603697,-0.951004979,-1.133584264
5/1/2005,0.087577195,0.034018703,-0.041117843
5/8/2005,0.470860383,0.327797695,0.130249438
5/15/2005,0.378872418,0.258673226,0.237353989
5/22/2005,0.30221578,0.154986523,0.023144887
5/29/2005,0.11823985,-0.035105766,-0.041117843
6/5/2005,-0.518010243,-0.480094535,-0.806915383
6/12/2005,0.785152597,0.703661995,0.638996056
6/19/2005,0.992125519,1.140010205,1.28697859
6/26/2005,-0.571669889,-0.588101517,-0.72658697
7/3/2005,-0.00441077,-0.017824649,-0.148222394
7/10/2005,0.903970385,1.070885736,1.233426314
7/17/2005,0.804316757,0.846231212,0.912112661
7/24/2005,0.838812243,0.638857805,0.515825822
7/31/2005,0.133571177,-0.000543532,-0.169643305
8/7/2005,0.164233832,0.36235993,0.537246732
8/14/2005,0.225559142,0.241392109,0.2587749
8/21/2005,-0.924290422,-0.830037158,-1.112163354
8/28/2005,-0.403025286,-0.415290345,-0.555219688
9/4/2005,-1.460886885,-1.417595144,-1.71194884
9/11/2005,-0.567837057,-0.251119732,-0.051828298
9/18/2005,-0.115562895,0.077221496,0.333748085
9/25/2005,0.133571177,-0.017824649,0.108828528
10/2/2005,0.562848348,0.604295571,0.601509463
10/9/2005,0.992125519,0.967199032,1.222715859
